insight_id,category,title,description
1,"Batch 1","Script 66","To validate exception to credit check over HANA customers & trigger change to the configuration"
2,"Batch 1","Script 18","To ensure that Sales order,invoicing & dispatch is made within the defined timelines"
3,"Batch 1","Script 2","Identify instances where cheque payments are not in the name of Vendor"
4,"Batch 1","Script 81","To identify instances where consumption has been booked post recording the output."
5,"Batch 1","Script 17","Change in Expiry Date"
6,"Batch 1","Script 19","To ensure that there is no case of backdated invoicing, missing invoices etc."
7,"Batch 1","Script 38","To identify transactions where customer to customer & customer to Vendor Transfers have been made"
8,"Batch 1","Script 71","To identify transactions whereVendor to Vendor &Vendor to customer Transfers have been made"
9,"Batch 1","Script 79","Identify instances where recon account is not defined/GST no,PAN no is not updated & GST no & PAN No do not match"
10,"Batch 1","Script 84","To identify duplicate customers in the system"
11,"Batch 1","Script 14","Identify Instances where duplicate entry of an invoice using the combination of Invoice Number, Date of invoice using special characters in the above fields."
12,"Batch 1","Script 27","Identify instances where customer & vendor name is same & both account have opposite Open balances"
13,"Batch 1","Script 42","To identify instances where for same Expense both PO & Non - PO has been raised"
14,"Batch 1","Script 78","a. GL A/c is marked for deletion but not blocked for posting b. GL A/c is neither defined as B/S nor as P/L Accounts"
15,"Batch 1","Script 80","GR Based IV indicator if not ticked, then vendor invoice can be processed without GRN. Therefore, this Script will cover both potential and actual cases."
16,"Batch 1","Script 104","Expired material are not issued to production"
17,"Batch 1","Script 114","Sample% is appropriate"
18,"Batch 1","Script 115","Forecast to Deploy - Precious Metal"
19,"Batch 1","Script 29","To highlight Plant locations where abnormal Inventory movements are higher"
20,"Batch 1","Script 35","This Script raise exception where there is delay in recording of ML & sending the same for recovery"
21,"Batch 1","Script 12","Identify instances where dormant Vendors are not blocked"
22,"Batch 1","Script 26","To identify instances where Payment have not been made though 180 days from Invoice date have passed on GST Invoices & compute interest loss suffered"
23,"Batch 1","Script 31","To identify cases where payments have not been made beyond due dates"
24,"Batch 1","Script 25","To identify instances where Payment made beyong 180 days from Invoice date on GST Invoices & compute interest loss suffered"
25,"Batch 1","Script 47","Identify instances where blocked invoices processed for payment"
26,"Batch 1","Script 51","Purchase order with ref to expired contract"
27,"Batch 1","Script 62","Delay in capitalisation"
28,"Batch 1","Script 86","To identify instances of prior period invoices being processed in CY"
29,"Batch 2","Script 4","PO with ref to contract, however, exceed the contract Qty"
30,"Batch 2","Script 46","PO with ref to contract exceeds the contract price"
31,"Batch 2","Script 13","Identify instances where the payment has either been made early or delayed"
